query,execution_time
"with wscs as  (select sold_date_sk         ,sales_price   from (select ws_sold_date_sk sold_date_sk               ,ws_ext_sales_price sales_price         from web_sales_orc_snappy          union all         select cs_sold_date_sk sold_date_sk               ,cs_ext_sales_price sales_price         from catalog_sales_orc_snappy)),  wswscs as   (select d_week_seq,         sum(case when (d_day_name='Sunday') then sales_price else null end) sun_sales,         sum(case when (d_day_name='Monday') then sales_price else null end) mon_sales,         sum(case when (d_day_name='Tuesday') then sales_price else  null end) tue_sales,         sum(case when (d_day_name='Wednesday') then sales_price else null end) wed_sales,         sum(case when (d_day_name='Thursday') then sales_price else null end) thu_sales,         sum(case when (d_day_name='Friday') then sales_price else null end) fri_sales,         sum(case when (d_day_name='Saturday') then sales_price else null end) sat_sales  from wscs      ,date_dim_orc_snappy  where d_date_sk = sold_date_sk  group by d_week_seq)  select d_week_seq1        ,round(sun_sales1/sun_sales2,2)        ,round(mon_sales1/mon_sales2,2)        ,round(tue_sales1/tue_sales2,2)        ,round(wed_sales1/wed_sales2,2)        ,round(thu_sales1/thu_sales2,2)        ,round(fri_sales1/fri_sales2,2)        ,round(sat_sales1/sat_sales2,2)  from  (select wswscs.d_week_seq d_week_seq1         ,sun_sales sun_sales1         ,mon_sales mon_sales1         ,tue_sales tue_sales1         ,wed_sales wed_sales1         ,thu_sales thu_sales1         ,fri_sales fri_sales1         ,sat_sales sat_sales1   from wswscs,date_dim_orc_snappy    where date_dim_orc_snappy.d_week_seq = wswscs.d_week_seq and         d_year = 1998) y,  (select wswscs.d_week_seq d_week_seq2         ,sun_sales sun_sales2         ,mon_sales mon_sales2         ,tue_sales tue_sales2         ,wed_sales wed_sales2         ,thu_sales thu_sales2         ,fri_sales fri_sales2         ,sat_sales sat_sales2   from wswscs       ,date_dim_orc_snappy    where date_dim_orc_snappy.d_week_seq = wswscs.d_week_seq and         d_year = 1998+1) z  where d_week_seq1=d_week_seq2-53  order by d_week_seq1",23.36712408
"select  count(*) from (     select distinct c_last_name, c_first_name, d_date     from store_sales_orc_snappy, date_dim_orc_snappy, customer_orc_snappy           where store_sales_orc_snappy.ss_sold_date_sk = date_dim_orc_snappy.d_date_sk       and store_sales_orc_snappy.ss_customer_sk = customer_orc_snappy.c_customer_sk       and d_month_seq between 1189 and 1189 + 11   intersect     select distinct c_last_name, c_first_name, d_date     from catalog_sales_orc_snappy, date_dim_orc_snappy, customer_orc_snappy           where catalog_sales_orc_snappy.cs_sold_date_sk = date_dim_orc_snappy.d_date_sk       and catalog_sales_orc_snappy.cs_bill_customer_sk = customer_orc_snappy.c_customer_sk       and d_month_seq between 1189 and 1189 + 11   intersect     select distinct c_last_name, c_first_name, d_date     from web_sales_orc_snappy, date_dim_orc_snappy, customer_orc_snappy           where web_sales_orc_snappy.ws_sold_date_sk = date_dim_orc_snappy.d_date_sk       and web_sales_orc_snappy.ws_bill_customer_sk = customer_orc_snappy.c_customer_sk       and d_month_seq between 1189 and 1189 + 11 ) hot_cust limit 100",6.899130821
"select count(*)  from ((select distinct c_last_name, c_first_name, d_date        from store_sales_orc_snappy, date_dim_orc_snappy, customer_orc_snappy        where store_sales_orc_snappy.ss_sold_date_sk = date_dim_orc_snappy.d_date_sk          and store_sales_orc_snappy.ss_customer_sk = customer_orc_snappy.c_customer_sk          and d_month_seq between 1202 and 1202+11)        except       (select distinct c_last_name, c_first_name, d_date        from catalog_sales_orc_snappy, date_dim_orc_snappy, customer_orc_snappy        where catalog_sales_orc_snappy.cs_sold_date_sk = date_dim_orc_snappy.d_date_sk          and catalog_sales_orc_snappy.cs_bill_customer_sk = customer_orc_snappy.c_customer_sk          and d_month_seq between 1202 and 1202+11)        except       (select distinct c_last_name, c_first_name, d_date        from web_sales_orc_snappy, date_dim_orc_snappy, customer_orc_snappy        where web_sales_orc_snappy.ws_sold_date_sk = date_dim_orc_snappy.d_date_sk          and web_sales_orc_snappy.ws_bill_customer_sk = customer_orc_snappy.c_customer_sk          and d_month_seq between 1202 and 1202+11) ) cool_cust",4.596768379
"select  channel, col_name, d_year, d_qoy, i_category, COUNT(*) sales_cnt, SUM(ext_sales_price) sales_amt FROM (         SELECT 'store' as channel, 'ss_customer_sk' col_name, d_year, d_qoy, i_category, ss_ext_sales_price ext_sales_price          FROM store_sales_orc_snappy, item_orc_snappy, date_dim_orc_snappy          WHERE ss_customer_sk IS NULL            AND ss_sold_date_sk=d_date_sk            AND ss_item_sk=i_item_sk         UNION ALL         SELECT 'web' as channel, 'ws_promo_sk' col_name, d_year, d_qoy, i_category, ws_ext_sales_price ext_sales_price          FROM web_sales_orc_snappy, item_orc_snappy, date_dim_orc_snappy          WHERE ws_promo_sk IS NULL            AND ws_sold_date_sk=d_date_sk            AND ws_item_sk=i_item_sk         UNION ALL         SELECT 'catalog' as channel, 'cs_bill_customer_sk' col_name, d_year, d_qoy, i_category, cs_ext_sales_price ext_sales_price          FROM catalog_sales_orc_snappy, item_orc_snappy, date_dim_orc_snappy          WHERE cs_bill_customer_sk IS NULL            AND cs_sold_date_sk=d_date_sk            AND cs_item_sk=i_item_sk) foo GROUP BY channel, col_name, d_year, d_qoy, i_category ORDER BY channel, col_name, d_year, d_qoy, i_category limit 100",4.625468254
"with  cross_items as  (select i_item_sk ss_item_sk  from item_orc_snappy,  (select iss.i_brand_id brand_id      ,iss.i_class_id class_id      ,iss.i_category_id category_id  from store_sales_orc_snappy      ,item_orc_snappy iss      ,date_dim_orc_snappy d1  where ss_item_sk = iss.i_item_sk    and ss_sold_date_sk = d1.d_date_sk    and d1.d_year between 1999 AND 1999 + 2  intersect   select ics.i_brand_id      ,ics.i_class_id      ,ics.i_category_id  from catalog_sales_orc_snappy      ,item_orc_snappy ics      ,date_dim_orc_snappy d2  where cs_item_sk = ics.i_item_sk    and cs_sold_date_sk = d2.d_date_sk    and d2.d_year between 1999 AND 1999 + 2  intersect  select iws.i_brand_id      ,iws.i_class_id      ,iws.i_category_id  from web_sales_orc_snappy      ,item_orc_snappy iws      ,date_dim_orc_snappy d3  where ws_item_sk = iws.i_item_sk    and ws_sold_date_sk = d3.d_date_sk    and d3.d_year between 1999 AND 1999 + 2)  where i_brand_id = brand_id       and i_class_id = class_id       and i_category_id = category_id ),  avg_sales as  (select avg(quantity*list_price) average_sales   from (select ss_quantity quantity              ,ss_list_price list_price        from store_sales_orc_snappy            ,date_dim_orc_snappy        where ss_sold_date_sk = d_date_sk          and d_year between 1999 and 1999 + 2        union all         select cs_quantity quantity               ,cs_list_price list_price        from catalog_sales_orc_snappy            ,date_dim_orc_snappy        where cs_sold_date_sk = d_date_sk          and d_year between 1999 and 1999 + 2         union all        select ws_quantity quantity              ,ws_list_price list_price        from web_sales_orc_snappy            ,date_dim_orc_snappy        where ws_sold_date_sk = d_date_sk          and d_year between 1999 and 1999 + 2) x)   select  channel, i_brand_id,i_class_id,i_category_id,sum(sales), sum(number_sales)  from(        select 'store' channel, i_brand_id,i_class_id              ,i_category_id,sum(ss_quantity*ss_list_price) sales              , count(*) number_sales        from store_sales_orc_snappy            ,item_orc_snappy            ,date_dim_orc_snappy        where ss_item_sk in (select ss_item_sk from cross_items)          and ss_item_sk = i_item_sk          and ss_sold_date_sk = d_date_sk          and d_year = 1999+2           and d_moy = 11        group by i_brand_id,i_class_id,i_category_id        having sum(ss_quantity*ss_list_price) > (select average_sales from avg_sales)        union all        select 'catalog' channel, i_brand_id,i_class_id,i_category_id, sum(cs_quantity*cs_list_price) sales, count(*) number_sales        from catalog_sales_orc_snappy            ,item_orc_snappy            ,date_dim_orc_snappy        where cs_item_sk in (select ss_item_sk from cross_items)          and cs_item_sk = i_item_sk          and cs_sold_date_sk = d_date_sk          and d_year = 1999+2           and d_moy = 11        group by i_brand_id,i_class_id,i_category_id        having sum(cs_quantity*cs_list_price) > (select average_sales from avg_sales)        union all        select 'web' channel, i_brand_id,i_class_id,i_category_id, sum(ws_quantity*ws_list_price) sales , count(*) number_sales        from web_sales_orc_snappy            ,item_orc_snappy            ,date_dim_orc_snappy        where ws_item_sk in (select ss_item_sk from cross_items)          and ws_item_sk = i_item_sk          and ws_sold_date_sk = d_date_sk          and d_year = 1999+2          and d_moy = 11        group by i_brand_id,i_class_id,i_category_id        having sum(ws_quantity*ws_list_price) > (select average_sales from avg_sales)  ) y  group by rollup (channel, i_brand_id,i_class_id,i_category_id)  order by channel,i_brand_id,i_class_id,i_category_id  limit 100",25.48548079
"with  cross_items as  (select i_item_sk ss_item_sk  from item_orc_snappy,  (select iss.i_brand_id brand_id      ,iss.i_class_id class_id      ,iss.i_category_id category_id  from store_sales_orc_snappy      ,item_orc_snappy iss      ,date_dim_orc_snappy d1  where ss_item_sk = iss.i_item_sk    and ss_sold_date_sk = d1.d_date_sk    and d1.d_year between 1999 AND 1999 + 2  intersect  select ics.i_brand_id      ,ics.i_class_id      ,ics.i_category_id  from catalog_sales_orc_snappy      ,item_orc_snappy ics      ,date_dim_orc_snappy d2  where cs_item_sk = ics.i_item_sk    and cs_sold_date_sk = d2.d_date_sk    and d2.d_year between 1999 AND 1999 + 2  intersect  select iws.i_brand_id      ,iws.i_class_id      ,iws.i_category_id  from web_sales_orc_snappy      ,item_orc_snappy iws      ,date_dim_orc_snappy d3  where ws_item_sk = iws.i_item_sk    and ws_sold_date_sk = d3.d_date_sk    and d3.d_year between 1999 AND 1999 + 2) x  where i_brand_id = brand_id       and i_class_id = class_id       and i_category_id = category_id ),  avg_sales as (select avg(quantity*list_price) average_sales   from (select ss_quantity quantity              ,ss_list_price list_price        from store_sales_orc_snappy            ,date_dim_orc_snappy        where ss_sold_date_sk = d_date_sk          and d_year between 1999 and 1999 + 2        union all        select cs_quantity quantity              ,cs_list_price list_price        from catalog_sales_orc_snappy            ,date_dim_orc_snappy        where cs_sold_date_sk = d_date_sk          and d_year between 1999 and 1999 + 2        union all        select ws_quantity quantity              ,ws_list_price list_price        from web_sales_orc_snappy            ,date_dim_orc_snappy        where ws_sold_date_sk = d_date_sk          and d_year between 1999 and 1999 + 2) x)   select  this_year.channel ty_channel                            ,this_year.i_brand_id ty_brand                            ,this_year.i_class_id ty_class                            ,this_year.i_category_id ty_category                            ,this_year.sales ty_sales                            ,this_year.number_sales ty_number_sales                            ,last_year.channel ly_channel                            ,last_year.i_brand_id ly_brand                            ,last_year.i_class_id ly_class                            ,last_year.i_category_id ly_category                            ,last_year.sales ly_sales                            ,last_year.number_sales ly_number_sales   from  (select 'store' channel, i_brand_id,i_class_id,i_category_id         ,sum(ss_quantity*ss_list_price) sales, count(*) number_sales  from store_sales_orc_snappy       ,item_orc_snappy      ,date_dim_orc_snappy  where ss_item_sk in (select ss_item_sk from cross_items)    and ss_item_sk = i_item_sk    and ss_sold_date_sk = d_date_sk    and d_week_seq = (select d_week_seq                      from date_dim_orc_snappy                      where d_year = 1999 + 1                        and d_moy = 12                        and d_dom = 3)  group by i_brand_id,i_class_id,i_category_id  having sum(ss_quantity*ss_list_price) > (select average_sales from avg_sales)) this_year,  (select 'store' channel, i_brand_id,i_class_id         ,i_category_id, sum(ss_quantity*ss_list_price) sales, count(*) number_sales  from store_sales_orc_snappy      ,item_orc_snappy      ,date_dim_orc_snappy  where ss_item_sk in (select ss_item_sk from cross_items)    and ss_item_sk = i_item_sk    and ss_sold_date_sk = d_date_sk    and d_week_seq = (select d_week_seq                      from date_dim_orc_snappy                      where d_year = 1999                        and d_moy = 12                        and d_dom = 3)  group by i_brand_id,i_class_id,i_category_id  having sum(ss_quantity*ss_list_price) > (select average_sales from avg_sales)) last_year  where this_year.i_brand_id= last_year.i_brand_id    and this_year.i_class_id = last_year.i_class_id    and this_year.i_category_id = last_year.i_category_id  order by this_year.channel, this_year.i_brand_id, this_year.i_class_id, this_year.i_category_id  limit 100",16.01434112
"with customer_total_return as (select sr_customer_sk as ctr_customer_sk ,sr_store_sk as ctr_store_sk ,sum(SR_FEE) as ctr_total_return from store_returns_orc_snappy ,date_dim_orc_snappy where sr_returned_date_sk = d_date_sk and d_year =2000 group by sr_customer_sk ,sr_store_sk)  select  c_customer_id from customer_total_return ctr1 ,store_orc_snappy ,customer_orc_snappy where ctr1.ctr_total_return > (select avg(ctr_total_return)*1.2 from customer_total_return ctr2 where ctr1.ctr_store_sk = ctr2.ctr_store_sk) and s_store_sk = ctr1.ctr_store_sk and s_state = 'TN' and ctr1.ctr_customer_sk = c_customer_sk order by c_customer_id limit 100",3.012516022
"select      substr(w_warehouse_name,1,20)   ,sm_type   ,cc_name   ,sum(case when (cs_ship_date_sk - cs_sold_date_sk <= 30 ) then 1 else 0 end)  as `30 days`    ,sum(case when (cs_ship_date_sk - cs_sold_date_sk > 30) and                   (cs_ship_date_sk - cs_sold_date_sk <= 60) then 1 else 0 end )  as `31-60 days`    ,sum(case when (cs_ship_date_sk - cs_sold_date_sk > 60) and                   (cs_ship_date_sk - cs_sold_date_sk <= 90) then 1 else 0 end)  as `61-90 days`    ,sum(case when (cs_ship_date_sk - cs_sold_date_sk > 90) and                  (cs_ship_date_sk - cs_sold_date_sk <= 120) then 1 else 0 end)  as `91-120 days`    ,sum(case when (cs_ship_date_sk - cs_sold_date_sk  > 120) then 1 else 0 end)  as `>120 days`  from    catalog_sales_orc_snappy   ,warehouse_orc_snappy   ,ship_mode_orc_snappy   ,call_center_orc_snappy   ,date_dim_orc_snappy where     d_month_seq between 1194 and 1194 + 11 and cs_ship_date_sk   = d_date_sk and cs_warehouse_sk   = w_warehouse_sk and cs_ship_mode_sk   = sm_ship_mode_sk and cs_call_center_sk = cc_call_center_sk group by    substr(w_warehouse_name,1,20)   ,sm_type   ,cc_name order by substr(w_warehouse_name,1,20)         ,sm_type         ,cc_name limit 100",2.443743467
"select i_item_id       ,i_item_desc        ,i_category        ,i_class        ,i_current_price       ,sum(ss_ext_sales_price) as itemrevenue        ,sum(ss_ext_sales_price)*100/sum(sum(ss_ext_sales_price)) over           (partition by i_class) as revenueratio from	 	store_sales_orc_snappy     	,item_orc_snappy      	,date_dim_orc_snappy where  	ss_item_sk = i_item_sk    	and i_category in ('Men', 'Sports', 'Jewelry')   	and ss_sold_date_sk = d_date_sk 	and d_date between cast('1999-02-05' as date)  				and DATE_ADD(CAST('1999-02-05' AS DATE), 30) group by  	i_item_id         ,i_item_desc          ,i_category         ,i_class         ,i_current_price order by  	i_category         ,i_class         ,i_item_id         ,i_item_desc         ,revenueratio",2.566992521
"with ssci as ( select ss_customer_sk customer_sk       ,ss_item_sk item_sk from store_sales_orc_snappy,date_dim_orc_snappy where ss_sold_date_sk = d_date_sk   and d_month_seq between 1199 and 1199 + 11 group by ss_customer_sk         ,ss_item_sk), csci as(  select cs_bill_customer_sk customer_sk       ,cs_item_sk item_sk from catalog_sales_orc_snappy,date_dim_orc_snappy where cs_sold_date_sk = d_date_sk   and d_month_seq between 1199 and 1199 + 11 group by cs_bill_customer_sk         ,cs_item_sk)  select  sum(case when ssci.customer_sk is not null and csci.customer_sk is null then 1 else 0 end) store_only       ,sum(case when ssci.customer_sk is null and csci.customer_sk is not null then 1 else 0 end) catalog_only       ,sum(case when ssci.customer_sk is not null and csci.customer_sk is not null then 1 else 0 end) store_and_catalog from ssci full outer join csci on (ssci.customer_sk=csci.customer_sk                                and ssci.item_sk = csci.item_sk) limit 100",4.204739094
"select  ss_customer_sk             ,sum(act_sales) sumsales       from (select ss_item_sk                   ,ss_ticket_number                   ,ss_customer_sk                   ,case when sr_return_quantity is not null then (ss_quantity-sr_return_quantity)*ss_sales_price                                                             else (ss_quantity*ss_sales_price) end act_sales             from store_sales_orc_snappy left outer join store_returns_orc_snappy on (sr_item_sk = ss_item_sk                                                                and sr_ticket_number = ss_ticket_number)                 ,reason_orc_snappy             where sr_reason_sk = r_reason_sk               and r_reason_desc = 'reason_orc_snappy 58') t       group by ss_customer_sk       order by sumsales, ss_customer_sk limit 100",0.687494993
"select      sum(ws_ext_discount_amt)  as `Excess Discount Amount`  from      web_sales_orc_snappy     ,item_orc_snappy     ,date_dim_orc_snappy where i_manufact_id = 714 and i_item_sk = ws_item_sk  and d_date between '2000-02-01' and          DATE_ADD(CAST('2000-02-01' AS DATE), 90) and d_date_sk = ws_sold_date_sk  and ws_ext_discount_amt        > (           SELECT              1.3 * avg(ws_ext_discount_amt)           FROM              web_sales_orc_snappy             ,date_dim_orc_snappy          WHERE                ws_item_sk = i_item_sk            and d_date between '2000-02-01' and                              DATE_ADD(CAST('2000-02-01' AS DATE), 90)           and d_date_sk = ws_sold_date_sk        )  order by sum(ws_ext_discount_amt) limit 100",2.359030247
"select  a.ca_state state, count(*) cnt  from customer_address_orc_snappy a      ,customer_orc_snappy c      ,store_sales_orc_snappy s      ,date_dim_orc_snappy d      ,item_orc_snappy i  where       a.ca_address_sk = c.c_current_addr_sk  	and c.c_customer_sk = s.ss_customer_sk  	and s.ss_sold_date_sk = d.d_date_sk  	and s.ss_item_sk = i.i_item_sk  	and d.d_month_seq =   	     (select distinct (d_month_seq)  	      from date_dim_orc_snappy                where d_year = 2002  	        and d_moy = 3 )  	and i.i_current_price > 1.2 *               (select avg(j.i_current_price)   	     from item_orc_snappy j   	     where j.i_category = i.i_category)  group by a.ca_state  having count(*) >= 10  order by cnt, a.ca_state   limit 100",4.354704142
"select  count(*)  from store_sales_orc_snappy     ,household_demographics_orc_snappy      ,time_dim_orc_snappy, store_orc_snappy where ss_sold_time_sk = time_dim_orc_snappy.t_time_sk        and ss_hdemo_sk = household_demographics_orc_snappy.hd_demo_sk      and ss_store_sk = s_store_sk     and time_dim_orc_snappy.t_hour = 8     and time_dim_orc_snappy.t_minute >= 30     and household_demographics_orc_snappy.hd_dep_count = 0     and store_orc_snappy.s_store_name = 'ese' order by count(*) limit 100",1.27592063
"with ws_wh as (select ws1.ws_order_number,ws1.ws_warehouse_sk wh1,ws2.ws_warehouse_sk wh2  from web_sales_orc_snappy ws1,web_sales_orc_snappy ws2  where ws1.ws_order_number = ws2.ws_order_number    and ws1.ws_warehouse_sk <> ws2.ws_warehouse_sk)  select      count(distinct ws_order_number) as `order count`   ,sum(ws_ext_ship_cost) as `total shipping cost`   ,sum(ws_net_profit) as `total net profit` from    web_sales_orc_snappy ws1   ,date_dim_orc_snappy   ,customer_address_orc_snappy   ,web_site_orc_snappy where     d_date between '2001-4-01' and             DATE_ADD(CAST('2001-4-01' AS DATE), 60) and ws1.ws_ship_date_sk = d_date_sk and ws1.ws_ship_addr_sk = ca_address_sk and ca_state = 'VA' and ws1.ws_web_site_sk = web_site_sk and web_company_name = 'pri' and ws1.ws_order_number in (select ws_order_number                             from ws_wh) and ws1.ws_order_number in (select wr_order_number                             from web_returns_orc_snappy,ws_wh                             where wr_order_number = ws_wh.ws_order_number) order by count(distinct ws_order_number) limit 100",18.00498652
"select  * from( select i_category, i_class, i_brand,        s_store_name, s_company_name,        d_moy,        sum(ss_sales_price) sum_sales,        avg(sum(ss_sales_price)) over          (partition by i_category, i_brand, s_store_name, s_company_name)          avg_monthly_sales from item_orc_snappy, store_sales_orc_snappy, date_dim_orc_snappy, store_orc_snappy where ss_item_sk = i_item_sk and       ss_sold_date_sk = d_date_sk and       ss_store_sk = s_store_sk and       d_year in (2001) and         ((i_category in ('Books','Children','Electronics') and           i_class in ('history','school-uniforms','audio')          )       or (i_category in ('Men','Sports','Shoes') and           i_class in ('pants','tennis','womens')          )) group by i_category, i_class, i_brand,          s_store_name, s_company_name, d_moy) tmp1 where case when (avg_monthly_sales <> 0) then (abs(sum_sales - avg_monthly_sales) / avg_monthly_sales) else null end > 0.1 order by sum_sales - avg_monthly_sales, s_store_name limit 100",2.639028311
"select      w_state   ,i_item_id   ,sum(case when (cast(d_date as date) < cast ('2001-05-02' as date))   		then cs_sales_price - coalesce(cr_refunded_cash,0) else 0 end) as sales_before   ,sum(case when (cast(d_date as date) >= cast ('2001-05-02' as date))   		then cs_sales_price - coalesce(cr_refunded_cash,0) else 0 end) as sales_after  from    catalog_sales_orc_snappy left outer join catalog_returns_orc_snappy on        (cs_order_number = cr_order_number          and cs_item_sk = cr_item_sk)   ,warehouse_orc_snappy    ,item_orc_snappy   ,date_dim_orc_snappy  where      i_current_price between 0.99 and 1.49  and i_item_sk          = cs_item_sk  and cs_warehouse_sk    = w_warehouse_sk   and cs_sold_date_sk    = d_date_sk  and d_date between DATE_SUB(CAST('2001-05-02' AS DATE), 30)                 and DATE_ADD(CAST('2001-05-02' AS DATE), 30)   group by     w_state,i_item_id  order by w_state,i_item_id limit 100",2.236152649
